gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	threshold_CE	genelabels
g826	4727.87710678154	1.51062432316109	0.354100103639261	4.26636143672358	1.98686799777993e-05	0.00116472020079008	TRUE	
g729	160.486875193406	1.70154614531867	0.399078197015079	4.26007821877464	2.04355375455144e-05	0.00119017101458259	TRUE	
g1391	13.7062704896109	-2.31987236348647	0.611429893920084	-4.2559593731587	2.08154505210983e-05	0.00120447597241117	TRUE	
g961	5433.89440446821	2.11760377241364	0.499137198045354	4.25393116914756	2.10049892133969e-05	0.00120765223240357	TRUE	
g660	103.242523248795	2.0382602194931	0.479070230924936	4.25094965618164	2.12866016196322e-05	0.00121604796131517	TRUE	
g345	549.6351656688	1.56453469449296	0.368359333362551	4.24690431834786	2.16744465624016e-05	0.00123036779252013	TRUE	
g82	3325.45102451608	1.21961534253724	0.287551719638509	4.24135816886947	2.22171266029779e-05	0.00125324156290634	TRUE	
g1558	103.228160553826	2.23056988291514	0.612134902768393	4.23682020819434	2.26707525316056e-05	0.00126622379598342	TRUE	
g2995	547.32175920719	-1.74829755230227	0.412665917332175	-4.23623758283081	2.272962773479e-05	0.00126622379598342	TRUE	
g27	523.312839890647	1.89102255906982	0.449279445929418	4.21069110390526	2.54590656464884e-05	0.00140952073940342	TRUE	
g721	1327.5278612347	1.34617253331462	0.3211165075609	4.19204719518382	2.76448466288298e-05	0.0015211449657299	TRUE	
g651	17298.6689902896	1.55768712463389	0.372247955664546	4.18506971042899	2.85078601086505e-05	0.00154961816554234	TRUE	
g830	1620.4710019678	1.51478458412768	0.36194702642478	4.18523108179992	2.84876146523999e-05	0.00154961816554234	TRUE	
g595	5023.52113049184	1.37760133781157	0.329334805658675	4.1830966790241	2.87565028112777e-05	0.00155371731153223	TRUE	
g6662	8650.60192988274	-1.55330580723576	0.371650105454182	-4.17992316493546	2.91607607063256e-05	0.00156612492679661	TRUE	
g6	179.884514818215	1.5428176428203	0.3692413892818	4.17568861558217	2.97085974791754e-05	0.0015860500642305	TRUE	
g7569	124.326301338241	-2.34140573603781	0.573543266926599	-4.14098507606071	3.45817462694188e-05	0.00183528806089004	TRUE	
g313	754.097224096261	1.86645154988603	0.451550884154237	4.13601243667916	3.53393046501033e-05	0.00186446013768692	TRUE	
g445	9327.69607819372	1.54767682552984	0.375855438005529	4.11827540579101	3.81718343720548e-05	0.00200212387416935	TRUE	
g378	1884.33466600768	1.00318719651446	0.243705275512334	4.11631575090659	3.84976816165682e-05	0.00200747503731977	TRUE	
g444	1363.70010337888	1.20565482866824	0.293929885941034	4.10174110788241	4.10052924269464e-05	0.00212587553628487	TRUE	
g944	14725.994120139	1.51475629623622	0.369749634456392	4.09716576029115	4.18239422569658e-05	0.00215585596610762	TRUE	
g88	63.3349717323047	2.13811619015546	0.521629052814301	4.09298645814139	4.25852599926839e-05	0.00217724204706913	TRUE	
g597	5569.31555136143	1.14568354416163	0.279993619425089	4.09182155012003	4.2799795865043e-05	0.00217724204706913	TRUE	
g685	2001.60079427871	1.13970764692366	0.278591033619278	4.09091699031838	4.29670913514591e-05	0.00217724204706913	TRUE	
g702	2223.34499142607	1.41266502603596	0.345609829378353	4.08756396866264	4.3592649723848e-05	0.00219653076052356	TRUE	
g238	10282.9403704876	1.04698580511999	0.256884120919083	4.07571568099663	4.58730410180333e-05	0.00229852125637285	TRUE	
g635	2374.37866917738	1.29325825597756	0.31904518981258	4.05350532636314	5.04558505819408e-05	0.00250265925969295	TRUE	
g677	62.3799452077301	2.34071529598218	0.587086522512086	4.05327663482601	5.05052208723853e-05	0.00250265925969295	TRUE	
g116	2712.50995995185	1.51499964475113	0.374347842643256	4.04739641226764	5.17904895124537e-05	0.00255224670569888	TRUE	
g186	34.6768988213276	2.2507814204054	0.554665203968386	4.04069584430334	5.32928392883667e-05	0.00259964618098632	TRUE	
g1797	19.4596369535979	-2.62577376040281	0.607768110180042	-4.0405234969187	5.33320211061973e-05	0.00259964618098632	TRUE	
g269	425.191307334178	1.20370416938951	0.298338479323225	4.03413675573393	5.48033953255937e-05	0.00265692785229865	TRUE	
g911	120.768897577933	1.6746886773932	0.416698371468684	4.01533374514453	5.93617324155127e-05	0.00286244826900394	TRUE	
g930	3625.41018506571	1.64619305858696	0.410560317957609	4.01067871848351	6.05444510233391e-05	0.00290386727929588	TRUE	
g138	619.9374789961	1.5245133842042	0.38036475631298	4.0078638536582	6.12704221912021e-05	0.00292305540762177	TRUE	
g271	3432.93474497606	1.22191209391499	0.30589017730698	3.9946116073426	6.48003913798995e-05	0.0030751042872292	TRUE	
g9442	1657.54298089486	-1.02042687665271	0.255539315991151	-3.99308202068497	6.52199956346085e-05	0.00307872705708844	TRUE	
g748	10496.2978267925	1.16245943436224	0.291290849987139	3.99074823070728	6.58651715104483e-05	0.00309290431035189	TRUE	
g494	95.8786573216182	1.63187632969529	0.408755146173267	3.98685498128354	6.69549215555943e-05	0.00312770151787565	TRUE	
g184	6617.51814608181	1.65628326551511	0.416715400090147	3.97592302977689	7.01067996727177e-05	0.00325796832261453	TRUE	
g483	755.688630450506	2.17844743806274	0.553794976191301	3.96850288771661	7.23255810968878e-05	0.00334375328277313	TRUE	
g7551	155.41431077298	1.97971878151865	0.499371387306391	3.96686772278742	7.2823382485968e-05	0.00334950214111101	TRUE	
g740	16547.0146552532	1.12877382379848	0.285104085737062	3.95919719194923	7.52021266137939e-05	0.00344126466121999	TRUE	
g155	1374.20839000383	1.21871323135735	0.307970865700587	3.95714013410961	7.58524364611302e-05	0.00344606224690706	TRUE	
